id	selection	comment
JADES_2114	F	""
JADES_4130	F	""
JADES_4400	F	""
JADES_4829	F	""
JADES_7159	F	""
JADES_10396	F	""
JADES_10436	F	""
JADES_10547	F	""
JADES_10723	F	""
JADES_11331	F	""
JADES_11443	F	""
JADES_11570	F	""
JADES_12161	F	""
JADES_13094	F	""
JADES_13458	F	""
JADES_13973	F	""
JADES_14001	F	""
JADES_14447	F	""
JADES_16362	F	""
JADES_18837	F	""
JADES_21165	F	""
JADES_22790	F	""
JADES_24245	F	""
JADES_25626	F	""
JADES_28204	F	""
JADES_28828	F	""
JADES_29903	F	""
JADES_30923	F	""
JADES_31222	F	""
JADES_31932	F	""
JADES_32278	F	""
JADES_33035	F	""
JADES_33553	F	""
JADES_34150	F	""
JADES_34792	F	""
JADES_34899	F	""
JADES_35037	F	""
JADES_35173	F	""
JADES_37198	F	""
JADES_39671	F	""
JADES_39779	F	""
JADES_39854	F	""
JADES_42779	F	""
JADES_44415	F	""
JADES_45941	F	""
JADES_46368	F	""
JADES_48598	F	""
JADES_49657	F	""
JADES_50393	F	""
JADES_50521	F	""
JADES_53376	F	""
JADES_54076	F	""
JADES_54607	F	""
JADES_54626	F	""
JADES_56189	F	""
JADES_57866	F	""
JADES_60635	F	""
JADES_60873	F	""
JADES_61255	F	""
JADES_63201	F	""
JADES_67740	F	""
JADES_68134	F	""
JADES_70261	F	""
JADES_73010	F	""
JADES_73355	F	""
JADES_74221	F	""
JADES_75157	F	""
JADES_75237	F	""
JADES_76622	F	""
JADES_76840	F	""
JADES_77788	F	""
JADES_77911	F	""
JADES_77948	F	""
JADES_81353	F	""
JADES_82468	F	""
JADES_82690	F	""
JADES_84951	F	""
JADES_85362	F	""
JADES_85689	F	""
JADES_85827	F	""
JADES_85865	F	""
